Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime
8.0, 6.0, 2.0, 11.06, 13.83, 8.0, 38084712.0, 5303902.0, 15926687.0, 179201.0, 232.0, 5032.0
6.0, 6.0, 2.0, 1.39, 1.73, 14.0, 38114473.0, 4971903.0, 16175981.0, 209624.0, 191.0, 5031.0
8.0, 6.0, 2.0, 4.75, 5.94, 36.0, 40793241.0, 4584665.0, 16932750.0, 168590.0, 237.0, 5031.0
7.0, 6.0, 2.0, 6.01, 7.52, 15.0, 38477632.0, 4236994.0, 16235516.0, 183114.0, 214.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.0, 6.0, 2.0, 2.47, 3.09, 22.0, 39026079.0, 4130070.0, 16103484.0, 178695.0, 191.0, 5032.0
8.0, 6.0, 2.0, 8.72, 10.9, 26.0, 35765437.0, 6105411.0, 15615913.0, 179997.0, 237.0, 5032.0
5.0, 6.0, 2.0, 12.26, 15.33, 11.0, 37622737.0, 6186685.0, 16267587.0, 155794.0, 168.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.0, 6.0, 2.0, 14.5, 18.13, 27.0, 38722914.0, 5831390.0, 16484801.0, 107880.0, 214.0, 5031.0
5.0, 6.0, 2.0, 3.61, 4.52, 19.0, 36927971.0, 4364017.0, 15232270.0, 189203.0, 168.0, 5032.0
5.0, 6.0, 2.0, 2.46, 3.08, 9.0, 37103437.0, 4798901.0, 15574183.0, 155386.0, 168.0, 5031.0
5.0, 6.0, 2.0, 4.54, 5.67, 13.0, 35111849.0, 4506883.0, 15208078.0, 160836.0, 168.0, 5032.0
5.0, 6.0, 2.0, 12.75, 15.94, 15.0, 33187109.0, 6159479.0, 14892559.0, 189357.0, 166.0, 5032.0
5.0, 6.0, 2.0, 11.58, 14.47, 4.0, 32956881.0, 4820974.0, 14701451.0, 171305.0, 166.0, 5049.0
7.0, 6.0, 2.0, 12.39, 15.49, 18.0, 36193221.0, 6106732.0, 15691498.0, 137163.0, 214.0, 5037.0
6.0, 6.0, 2.0, 7.07, 8.84, 17.0, 33654089.0, 5014856.0, 14592908.0, 161685.0, 191.0, 5033.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 8.0, 1.0, 10.9, 13.63, 0.0, 42603723.0, 5425475.0, 17745571.0, 156778.0, 324.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.0, 8.0, 1.0, 3.93, 4.92, 0.0, 40805582.0, 6437369.0, 17400661.0, 208840.0, 216.0, 5032.0
8.0, 8.0, 1.0, 3.15, 3.94, 0.0, 33583966.0, 4922233.0, 14615142.0, 298040.0, 270.0, 5030.0
8.0, 8.0, 1.0, 4.21, 5.27, 0.0, 36145526.0, 4690027.0, 15649091.0, 233233.0, 270.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.0, 8.0, 1.0, 3.14, 3.93, 0.0, 38440993.0, 4897499.0, 16494242.0, 362149.0, 216.0, 5034.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
